N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
293825;BSM0227169/60;Sortie d'article;30/10/2023;CA6I2507;ÉLÉMENT DE FILTRE À AIR PRIM / FILTER ELEMENT;CA;602237;011;ED00;E1-Service;1;U;93175;93175;XOF;142;EUR;M1-E;FIL.2.1;300032;MINES;;;;598863;MAINTENANCE 500H CAT D9R;B.SORO;P20071;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;ED534;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
293825;BSM0227169/60;Sortie d'article;30/10/2023;CA6I2508;ÉLÉMENT DE FILTRE À AIR SECO / FILTER ELEMENT;CA;602237;011;ED00;E1-Service;1;U;80393;80393;XOF;122,52;EUR;M1-E;FIL.2.1;300032;MINES;;;;598863;MAINTENANCE 500H CAT D9R;B.SORO;P20071;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;ED534;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
285900;BSM0222230;Sortie d'article;02/06/2023;CA6I2508;ÉLÉMENT DE FILTRE À AIR SECO / FILTER ELEMENT;CA;602237;011;ED00;E1-Service;1;U;80393;80393;XOF;122,52;EUR;M1-E;FIL.2.1;300032;MINES;;;;598867;MAINTENANCE 2000H CAT D9R;S.TUO;P20071;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;ED532;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
285900;BSM0222230;Sortie d'article;02/06/2023;CA7T1890;FILTRE / FILTER;CA;602237;011;ED00;E1-Service;1;U;46520;46520;XOF;70,9;EUR;M1-E;1.G.5.4;300032;MINES;;;;598867;MAINTENANCE 2000H CAT D9R;S.TUO;P20071;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;ED532;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
285900;BSM0222230;Sortie d'article;02/06/2023;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATE;CA;602237;011;ED00;E1-Service;1;U;34326;34326;XOF;52,31;EUR;M1-E;1.G.4.2;300032;MINES;;;;598867;MAINTENANCE 2000H CAT D9R;S.TUO;P20071;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;ED532;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
287631;0223777/16;Sortie d'article;03/07/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;598870;MAINTENANCE 250H ATL FLEXIROC D65;I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;03/07/2023;03/07/2023;;MINES;;CL549;E1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
285931;0220872;Sortie d'article;03/06/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;1;U;22259;22259;XOF;33,92;EUR;M1-E;1.G.3.3;300032;MINES;;;;598896;MAINTENANCE 500H CAT D9R (sortie du magasin);S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;04/06/2023;;MINES;;ED536;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
285929;0223368;Sortie d'article;03/06/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;598897;MAINTENANCE 250H ATL FLEXIROC D65  (sortie du magasin);I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;;04/06/2023;;MINES;;CL551;STE1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
285928;0220868;Sortie d'article;03/06/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;1;U;22259;22259;XOF;33,92;EUR;M1-E;1.G.3.3;300032;MINES;;;;598898;MAINTENANCE 250H CAT D9R  (sortie du magasin);S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;04/06/2023;;MINES;;ED535;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
285924;0223378;Sortie d'article;03/06/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;1;U;22259;22259;XOF;33,92;EUR;M1-E;1.G.3.3;300032;MINES;;;;598902;MAINTENANCE 250H CAT D9R  (sortie du magasin);B.SORO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;04/06/2023;;MINES;;ED532;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
291171;0226118/44;Sortie d'article;14/09/2023;CA4238524;FILTRE SEPARATEUR EAU/FUEL;CA;602237;011;ED00;;1;U;43505;43505;XOF;66,3;EUR;M1-E;1.G.4.1;300032;MINES;;;;598942;MAINTENANCE 600H CAT 777;D.BALLA;P20071;PARCMIN-RAL1;000140;Clôturé-;;13/09/2023;14/09/2023;;MINES;;JM626;E1;JM;JM00;PRODUCTION;RAL1;GEO-MINES;
296286;0222652/ALLOCAT;Sortie d'article;16/01/2024;CA2S4078;JOINT / SEAL;CA;602237;013;ED00;Consommables;1;U;790,03;790,03;XOF;1,55;USD;M1-D;5.D.1.2;300032;MINES;;;;599072;DA OIL LEAKAGE (TANK, VALVE, PUMPS);S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;29/03/2024;;MINES;;JM602;R2;JM;JM00;PRODUCTION;RAL1;GEO-MINES;
288472;0222652/03316L/BS ALLOUE;Sortie d'article;21/07/2023;CA2S4078;JOINT / SEAL;CA;602237;013;ED00;Consommables;1;U;790,03;790,03;XOF;1,55;USD;M1-D;5.D.1.2;300032;MINES;;;;599072;DA OIL LEAKAGE (TANK, VALVE, PUMPS);S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;29/03/2024;;MINES;;JM602;R2;JM;JM00;PRODUCTION;RAL1;GEO-MINES;
290909;BSM0225791/40;Sortie d'article;03/09/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;7;U;22259;155813;XOF;237,46;EUR;M1-E;1.G.3.3;300032;MINES;;;;599098;MAINTENANCE 600H CAT 777;D.BALLA;P20071;PARCMIN-RAL1;000140;Clôturé-;;03/09/2023;03/09/2023;;MINES;;JM603;E1;JM;JM00;PRODUCTION;RAL1;GEO-MINES;
287168;0222837;Sortie d'article;18/06/2023;CA4238524;FILTRE SEPARATEUR EAU/FUEL;CA;602237;011;ED00;;1;U;43505;43505;XOF;66,3;EUR;M1-E;1.G.4.1;300032;MINES;;;;599107;Track chain worn out;I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;07/06/2023;20/06/2023;;MINES;;CL542;U1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
286122;0222558;Sortie d'article;10/06/2023;CA1152460;JEU DE 4 COURROIES TRAPEZOID / V-BELT SET INCLUDES 4-BELTS;CA;602237;013;ED00;Consommables;1;U;225259;225259;XOF;343,29;EUR;M1-E;7.D.4.1;300032;MINES;;;;599112;Remplacement des filtres de transmission et convertisseur près Rebuilt;JM.BONI;P20071;PARCMIN-RAL1;000140;Clôturé-;;08/06/2023;08/06/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
286057;0222703;Sortie d'article;09/06/2023;CA6I2508;ÉLÉMENT DE FILTRE À AIR SECO / FILTER ELEMENT;CA;602237;011;ED00;E1-Service;1;U;80393;80393;XOF;122,52;EUR;M1-E;FIL.2.1;300032;MINES;;;;599112;Remplacement des filtres de transmission et convertisseur près Rebuilt;D.BALLA;P20071;PARCMIN-RAL1;000140;Clôturé-;;08/06/2023;08/06/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
